candidate_id,name,course,batch,enrolment_date,attendance_pct,completed,placement_status,employer
1,Suresh Kumar,Mobile Phone Repair,2025-A,2025-03-13,82.9,1,Not Placed,
2,Ravi Menon,Beautician & Wellness,2025-A,2025-02-17,49.2,0,Not Placed,
3,Priya Pillai,Tailoring & Garment Making,2026-A,2025-08-18,73.3,1,Unknown,
4,Kavya Reddy,Mobile Phone Repair,2026-A,2025-04-21,97.2,1,Placed,ABC Electronics
5,Manoj Sharma,Mobile Phone Repair,2026-C,2025-05-16,87.5,1,Not Placed,
6,Manoj Sharma,Electrical Wiring Basics,2026-C,2025-07-05,72.5,1,Unknown,
7,Divya Prasad,Basic Computer Literacy,2025-A,2025-07-14,53.1,0,Not Placed,
8,Sangeeta Raj,Mobile Phone Repair,2026-A,2025-05-17,80.6,1,Unknown,
9,Kavya Pillai,Tailoring & Garment Making,2025-B,2025-07-14,52.5,0,Not Placed,
10,Nithya Devi,Mobile Phone Repair,2025-A,2025-01-17,87.3,1,Placed,ABC Electronics
11,Arun Menon,Mobile Phone Repair,2025-C,2025-09-13,60.7,1,Not Placed,
12,Karthik Raj,Tailoring & Garment Making,2026-C,2025-10-27,62.8,1,Not Placed,
13,Meena Pillai,Beautician & Wellness,2025-A,2025-02-26,44.9,0,Unknown,
14,Deepa Menon,Basic Computer Literacy,2026-B,2025-08-28,69.4,1,Not Placed,
15,Priya Sharma,Electrical Wiring Basics,2026-C,2025-06-24,42.3,0,Not Placed,
16,Rajesh Kumar,Mobile Phone Repair,2025-C,2025-02-24,91.6,1,Placed,Local Self-Employment
17,Ganesh Menon,Tailoring & Garment Making,2025-B,2025-03-24,70.1,1,Not Placed,
18,Priya Menon,Mobile Phone Repair,2026-A,2025-02-27,95.4,1,Not Placed,
19,Lakshmi Devi,Basic Computer Literacy,2025-C,2025-02-10,40.6,0,Not Placed,
20,Ravi Pillai,Tailoring & Garment Making,2025-C,2025-09-01,96.5,1,Placed,PowerTech Electricals
21,Bhavani Reddy,Tailoring & Garment Making,2025-C,2025-06-09,60.9,1,Not Placed,
22,Ganesh Iyer,Basic Computer Literacy,2025-A,2025-02-02,57.0,0,Not Placed,
23,Divya Menon,Tailoring & Garment Making,2025-A,2025-01-31,49.9,0,Not Placed,
24,Vijay Sharma,Electrical Wiring Basics,2025-B,2025-09-06,48.9,0,Unknown,
25,Sanjay Menon,Beautician & Wellness,2025-B,2025-07-28,47.4,0,Unknown,
26,Deepa Nair,Beautician & Wellness,2026-B,2025-01-28,78.8,1,Unknown,
27,Manoj Nair,Basic Computer Literacy,2025-A,2025-04-08,69.9,1,Placed,Sunrise Garments Pvt Ltd
28,Karthik Iyer,Tailoring & Garment Making,2025-B,2025-10-09,41.4,0,Not Placed,
29,Nithya Kumar,Basic Computer Literacy,2025-A,2025-07-28,66.6,1,Placed,Glow Beauty Salon
30,Anjali Raj,Beautician & Wellness,2025-B,2025-05-16,95.2,1,Unknown,
31,Nithya Iyer,Tailoring & Garment Making,2025-B,2025-04-22,98.0,1,Not Placed,
32,Vijay Kumar,Basic Computer Literacy,2026-C,2025-09-29,45.2,0,Not Placed,
33,Ravi Raj,Basic Computer Literacy,2025-C,2025-05-01,61.2,1,Not Placed,
34,Sanjay Menon,Basic Computer Literacy,2025-B,2025-10-26,71.7,1,Placed,QuickFix Mobile Services
35,Arun Nair,Tailoring & Garment Making,2026-B,2025-03-09,78.7,1,Placed,QuickFix Mobile Services
36,Ravi Kumar,Beautician & Wellness,2025-A,2025-10-03,48.9,0,Unknown,
37,Sangeeta Sharma,Tailoring & Garment Making,2026-B,2025-03-22,63.5,1,Placed,QuickFix Mobile Services
38,Bhavani Pillai,Basic Computer Literacy,2026-C,2025-02-23,96.0,1,Placed,ABC Electronics
39,Suresh Pillai,Tailoring & Garment Making,2026-B,2025-04-18,81.6,1,Placed,Local Self-Employment
40,Karthik Pillai,Beautician & Wellness,2026-A,2025-02-17,76.2,1,Unknown,
41,Vijay Raj,Mobile Phone Repair,2025-C,2025-08-15,70.9,1,Placed,ABC Electronics
42,Suresh Sharma,Tailoring & Garment Making,2025-B,2025-10-26,70.9,1,Placed,ABC Electronics
43,Lakshmi Nair,Basic Computer Literacy,2026-A,2025-05-08,78.4,1,Placed,PowerTech Electricals
44,Deepa Menon,Tailoring & Garment Making,2025-A,2025-04-01,92.3,1,Placed,Local Self-Employment
45,Vijay Reddy,Tailoring & Garment Making,2026-A,2025-02-25,59.9,0,Unknown,
46,Pooja Devi,Tailoring & Garment Making,2026-B,2025-06-06,88.3,1,Unknown,
47,Arun Reddy,Mobile Phone Repair,2026-A,2025-05-23,57.8,0,Not Placed,
48,Nithya Nair,Basic Computer Literacy,2025-B,2025-04-02,72.7,1,Unknown,
49,Bhavani Reddy,Mobile Phone Repair,2026-B,2025-09-19,42.5,0,Not Placed,
50,Arun Prasad,Basic Computer Literacy,2026-A,2025-09-24,95.2,1,Placed,Local Self-Employment
51,Arun Nair,Beautician & Wellness,2025-C,2025-06-19,75.5,1,Unknown,
52,Lakshmi Pillai,Mobile Phone Repair,2026-B,2025-07-26,80.3,1,Unknown,
53,Manoj Raj,Electrical Wiring Basics,2026-B,2025-10-08,89.2,1,Placed,Sunrise Garments Pvt Ltd
54,Deepa Menon,Electrical Wiring Basics,2026-B,2025-08-15,63.7,1,Placed,Glow Beauty Salon
55,Kavya Sharma,Mobile Phone Repair,2026-A,2025-05-01,78.7,1,Placed,Sunrise Garments Pvt Ltd
56,Meena Kumar,Basic Computer Literacy,2025-B,2025-02-07,64.6,1,Not Placed,
57,Manoj Iyer,Beautician & Wellness,2025-A,2025-01-03,93.0,1,Not Placed,
58,Deepa Devi,Tailoring & Garment Making,2026-A,2025-10-13,51.2,0,Not Placed,
59,Rajesh Raj,Beautician & Wellness,2026-B,2025-09-16,62.7,1,Not Placed,
60,Kavya Iyer,Beautician & Wellness,2026-A,2025-05-22,84.8,1,Placed,Local Self-Employment
61,Divya Prasad,Beautician & Wellness,2025-C,2025-05-27,50.2,0,Not Placed,
